Low,High,Open,Close,Volume,highest_bid_price,highest_bid_quantity,lowest_ask_price,lowest_ask_quantity,Spread,Mid_price,Market_depth
229.0,275.0,253.0,241.0,63484.0,240.0,7.0,241.0,1.0,1.0,240.5,773.0
229.0,260.0,251.0,246.0,63584.0,243.0,10.0,244.0,1.0,1.0,243.5,752.0
236.0,307.0,242.0,283.0,61091.0,282.0,11.0,283.0,1.0,1.0,282.5,734.0
257.0,310.0,286.0,263.0,59114.0,262.0,11.0,263.0,1.0,1.0,262.5,766.0
238.0,278.0,262.0,242.0,59570.0,238.0,5.0,239.0,1.0,1.0,238.5,697.0
206.0,257.0,256.0,210.0,64530.0,210.0,10.0,211.0,1.0,1.0,210.5,727.0
189.0,231.0,220.0,199.0,67028.0,198.0,7.0,199.0,1.0,1.0,198.5,704.0
183.0,222.0,192.0,212.0,74275.0,211.0,7.0,212.0,1.0,1.0,211.5,760.0
193.0,222.0,208.0,208.0,83477.0,199.0,9.0,208.0,1.0,9.0,203.5,678.0
198.0,235.0,207.0,213.0,66919.0,210.0,9.0,213.0,1.0,3.0,211.5,750.0
196.0,228.0,227.0,214.0,76440.0,211.0,6.0,213.0,1.0,2.0,212.0,725.0
178.0,219.0,200.0,190.0,75605.0,189.0,5.0,190.0,1.0,1.0,189.5,643.0
179.0,219.0,192.0,209.0,79948.0,209.0,6.0,216.0,2.0,7.0,212.5,713.0
187.0,216.0,213.0,200.0,76829.0,199.0,8.0,200.0,1.0,1.0,199.5,680.0
183.0,209.0,202.0,201.0,68762.0,200.0,9.0,201.0,2.0,1.0,200.5,657.0
191.0,267.0,209.0,253.0,70331.0,252.0,14.0,253.0,1.0,1.0,252.5,721.0
219.0,270.0,246.0,231.0,64563.0,230.0,6.0,231.0,1.0,1.0,230.5,653.0
186.0,239.0,239.0,193.0,70871.0,192.0,10.0,193.0,1.0,1.0,192.5,649.0
171.0,207.0,197.0,180.0,84520.0,180.0,4.0,182.0,1.0,2.0,181.0,760.0
169.0,199.0,180.0,179.0,94061.0,179.0,5.0,181.0,1.0,2.0,180.0,751.0
159.0,188.0,186.0,171.0,92004.0,171.0,5.0,262.0,1.0,91.0,216.5,711.0
153.0,180.0,162.0,157.0,96375.0,157.0,5.0,171.0,1.0,14.0,164.0,713.0
153.0,185.0,159.0,175.0,90477.0,176.0,5.0,185.0,2.0,9.0,180.5,666.0
