Low,High,Open,Close,Volume,highest_bid_price,highest_bid_quantity,lowest_ask_price,lowest_ask_quantity,Spread,Mid_price,Market_depth
165.0,200.0,197.0,191.0,14161.0,191.0,4.0,272.0,1.0,81.0,231.5,783.0
164.0,197.0,164.0,195.0,13976.0,195.0,7.0,204.0,3.0,9.0,199.5,715.0
164.0,197.0,195.0,190.0,14090.0,190.0,5.0,191.0,1.0,1.0,190.5,700.0
163.0,197.0,181.0,193.0,13964.0,193.0,5.0,194.0,1.0,1.0,193.5,571.0
162.0,195.0,180.0,193.0,13958.0,193.0,7.0,202.0,1.0,9.0,197.5,787.0
162.0,194.0,193.0,191.0,13969.0,193.0,5.0,206.0,1.0,13.0,199.5,753.0
163.0,196.0,194.0,186.0,13933.0,186.0,5.0,192.0,1.0,6.0,189.0,644.0
164.0,196.0,165.0,192.0,7022.0,194.0,5.0,215.0,1.0,21.0,204.5,622.0
162.0,195.0,185.0,193.0,13665.0,193.0,11.0,245.0,1.0,52.0,219.0,721.0
160.0,194.0,193.0,193.0,13942.0,194.0,4.0,255.0,2.0,61.0,224.5,772.0
162.0,196.0,191.0,195.0,13785.0,196.0,7.0,230.0,1.0,34.0,213.0,599.0
165.0,202.0,195.0,201.0,14190.0,201.0,6.0,222.0,1.0,21.0,211.5,747.0
169.0,203.0,201.0,202.0,13932.0,202.0,9.0,225.0,2.0,23.0,213.5,577.0
171.0,204.0,202.0,204.0,14073.0,204.0,5.0,208.0,1.0,4.0,206.0,754.0
174.0,209.0,204.0,206.0,13859.0,207.0,7.0,211.0,1.0,4.0,209.0,550.0
177.0,217.0,206.0,217.0,13936.0,217.0,4.0,250.0,1.0,33.0,233.5,686.0
186.0,219.0,196.0,188.0,6928.0,186.0,5.0,188.0,1.0,2.0,187.0,630.0
182.0,217.0,187.0,210.0,14049.0,211.0,4.0,212.0,1.0,1.0,211.5,722.0
182.0,221.0,208.0,191.0,13955.0,178.0,3.0,191.0,2.0,13.0,184.5,775.0
188.0,225.0,190.0,195.0,13929.0,193.0,3.0,195.0,1.0,2.0,194.0,724.0
192.0,228.0,195.0,199.0,14063.0,182.0,5.0,197.0,1.0,15.0,189.5,784.0
192.0,229.0,197.0,194.0,13908.0,191.0,5.0,194.0,2.0,3.0,192.5,694.0
192.0,225.0,194.0,224.0,13960.0,224.0,17.0,238.0,1.0,14.0,231.0,749.0
193.0,228.0,224.0,197.0,13695.0,186.0,5.0,197.0,1.0,11.0,191.5,765.0
194.0,229.0,197.0,195.0,13888.0,175.0,6.0,195.0,1.0,20.0,185.0,725.0
195.0,229.0,195.0,227.0,6883.0,227.0,7.0,230.0,2.0,3.0,228.5,681.0
191.0,230.0,229.0,217.0,14000.0,217.0,5.0,221.0,1.0,4.0,219.0,594.0
191.0,229.0,213.0,223.0,13966.0,216.0,4.0,223.0,1.0,7.0,219.5,707.0
196.0,229.0,227.0,202.0,14044.0,171.0,5.0,202.0,2.0,31.0,186.5,691.0
195.0,230.0,196.0,225.0,13989.0,225.0,6.0,268.0,1.0,43.0,246.5,680.0
190.0,226.0,225.0,192.0,13854.0,178.0,5.0,192.0,1.0,14.0,185.0,693.0
186.0,223.0,192.0,215.0,13989.0,213.0,5.0,215.0,1.0,2.0,214.0,694.0
184.0,218.0,217.0,216.0,14021.0,216.0,10.0,224.0,1.0,8.0,220.0,787.0
182.0,218.0,216.0,190.0,13955.0,190.0,4.0,197.0,1.0,7.0,193.5,714.0
182.0,216.0,193.0,205.0,7042.0,164.0,5.0,205.0,1.0,41.0,184.5,702.0
176.0,213.0,202.0,205.0,13960.0,206.0,5.0,231.0,1.0,25.0,218.5,702.0
174.0,208.0,206.0,188.0,14020.0,206.0,4.0,227.0,1.0,21.0,216.5,651.0
176.0,212.0,207.0,205.0,13961.0,205.0,5.0,206.0,2.0,1.0,205.5,783.0
173.0,207.0,202.0,203.0,13926.0,204.0,8.0,213.0,1.0,9.0,208.5,722.0
173.0,207.0,203.0,204.0,14020.0,204.0,9.0,205.0,2.0,1.0,204.5,491.0
171.0,206.0,204.0,195.0,14074.0,175.0,5.0,195.0,1.0,20.0,185.0,704.0
169.0,203.0,191.0,169.0,13883.0,168.0,5.0,169.0,1.0,1.0,168.5,685.0
164.0,200.0,169.0,164.0,13927.0,90.0,5.0,164.0,1.0,74.0,127.0,754.0
160.0,195.0,194.0,183.0,7080.0,182.0,5.0,183.0,1.0,1.0,182.5,714.0
158.0,193.0,190.0,189.0,13892.0,189.0,10.0,193.0,1.0,4.0,191.0,420.0
157.0,190.0,189.0,185.0,13883.0,185.0,5.0,186.0,1.0,1.0,185.5,700.0
158.0,192.0,184.0,188.0,14135.0,188.0,11.0,217.0,1.0,29.0,202.5,773.0
157.0,192.0,188.0,170.0,13923.0,170.0,5.0,188.0,1.0,18.0,179.0,708.0
161.0,197.0,180.0,166.0,13974.0,140.0,5.0,166.0,1.0,26.0,153.0,653.0
165.0,198.0,185.0,193.0,13801.0,193.0,5.0,194.0,1.0,1.0,193.5,715.0
163.0,197.0,195.0,196.0,14120.0,196.0,8.0,359.0,1.0,163.0,277.5,649.0
164.0,199.0,196.0,198.0,13950.0,198.0,5.0,200.0,1.0,2.0,199.0,672.0
166.0,199.0,198.0,197.0,6940.0,197.0,7.0,201.0,2.0,4.0,199.0,741.0
166.0,200.0,197.0,192.0,13544.0,198.0,5.0,232.0,1.0,34.0,215.0,742.0
169.0,203.0,192.0,203.0,13955.0,203.0,14.0,214.0,1.0,11.0,208.5,757.0
172.0,206.0,203.0,194.0,14100.0,194.0,5.0,196.0,1.0,2.0,195.0,655.0
171.0,207.0,191.0,188.0,13832.0,190.0,5.0,255.0,1.0,65.0,222.5,670.0
175.0,208.0,175.0,206.0,13926.0,207.0,5.0,321.0,2.0,114.0,264.0,693.0
177.0,216.0,207.0,215.0,13962.0,215.0,7.0,223.0,1.0,8.0,219.0,567.0
185.0,218.0,215.0,195.0,14061.0,197.0,5.0,217.0,1.0,20.0,207.0,668.0
183.0,219.0,205.0,216.0,13976.0,216.0,5.0,346.0,1.0,130.0,281.0,705.0
187.0,221.0,219.0,218.0,6935.0,217.0,10.0,218.0,1.0,1.0,217.5,740.0
188.0,225.0,188.0,222.0,13825.0,222.0,9.0,237.0,1.0,15.0,229.5,663.0
191.0,235.0,222.0,234.0,13960.0,234.0,5.0,235.0,2.0,1.0,234.5,711.0
201.0,235.0,234.0,234.0,13921.0,234.0,7.0,342.0,1.0,108.0,288.0,685.0
198.0,235.0,234.0,227.0,13796.0,225.0,6.0,227.0,1.0,2.0,226.0,662.0
196.0,230.0,225.0,196.0,13974.0,195.0,5.0,196.0,1.0,1.0,195.5,717.0
195.0,229.0,196.0,218.0,14071.0,191.0,5.0,218.0,1.0,27.0,204.5,752.0
196.0,231.0,197.0,202.0,14202.0,198.0,4.0,202.0,1.0,4.0,200.0,726.0
199.0,234.0,231.0,203.0,13932.0,160.0,5.0,202.0,1.0,42.0,181.0,641.0
200.0,237.0,202.0,237.0,6978.0,237.0,6.0,304.0,1.0,67.0,270.5,620.0
202.0,237.0,207.0,224.0,14027.0,219.0,5.0,221.0,1.0,2.0,220.0,759.0
199.0,236.0,232.0,233.0,14108.0,233.0,11.0,234.0,1.0,1.0,233.5,713.0
199.0,234.0,233.0,224.0,14000.0,219.0,5.0,222.0,1.0,3.0,220.5,742.0
197.0,234.0,222.0,228.0,13986.0,228.0,10.0,229.0,2.0,1.0,228.5,588.0
199.0,233.0,229.0,214.0,13941.0,228.0,5.0,229.0,1.0,1.0,228.5,583.0
197.0,232.0,228.0,202.0,13881.0,98.0,5.0,200.0,1.0,102.0,149.0,729.0
197.0,232.0,200.0,202.0,13974.0,201.0,3.0,202.0,1.0,1.0,201.5,703.0
