Low,High,Open,Close,Volume,highest_bid_price,highest_bid_quantity,lowest_ask_price,lowest_ask_quantity,Spread,Mid_price,Market_depth
203.0,268.0,263.0,214.0,67870.0,213.0,9.0,214.0,1.0,1.0,213.5,763.0
203.0,238.0,205.0,222.0,72179.0,221.0,9.0,222.0,1.0,1.0,221.5,750.0
216.0,279.0,221.0,268.0,64726.0,267.0,9.0,268.0,1.0,1.0,267.5,714.0
232.0,277.0,277.0,241.0,64277.0,240.0,7.0,241.0,1.0,1.0,240.5,781.0
216.0,254.0,242.0,235.0,65274.0,234.0,6.0,235.0,1.0,1.0,234.5,777.0
202.0,245.0,244.0,213.0,66300.0,213.0,7.0,214.0,1.0,1.0,213.5,763.0
199.0,231.0,223.0,218.0,66517.0,220.0,12.0,224.0,1.0,4.0,222.0,757.0
207.0,274.0,217.0,264.0,63422.0,263.0,11.0,264.0,1.0,1.0,263.5,788.0
248.0,284.0,266.0,269.0,60596.0,268.0,5.0,269.0,1.0,1.0,268.5,788.0
234.0,281.0,271.0,239.0,62535.0,238.0,8.0,239.0,1.0,1.0,238.5,747.0
232.0,288.0,238.0,277.0,61339.0,277.0,7.0,282.0,1.0,5.0,279.5,791.0
269.0,320.0,280.0,300.0,58224.0,299.0,9.0,300.0,2.0,1.0,299.5,756.0
263.0,315.0,306.0,266.0,58735.0,265.0,5.0,266.0,1.0,1.0,265.5,745.0
254.0,288.0,264.0,272.0,59476.0,271.0,8.0,272.0,3.0,1.0,271.5,744.0
250.0,297.0,281.0,272.0,63001.0,272.0,9.0,273.0,1.0,1.0,272.5,697.0
259.0,363.0,267.0,350.0,58409.0,350.0,8.0,351.0,1.0,1.0,350.5,705.0
291.0,359.0,359.0,314.0,57833.0,313.0,6.0,314.0,1.0,1.0,313.5,669.0
269.0,323.0,299.0,283.0,59302.0,282.0,17.0,283.0,1.0,1.0,282.5,761.0
253.0,289.0,270.0,271.0,62199.0,270.0,5.0,271.0,1.0,1.0,270.5,709.0
253.0,291.0,266.0,267.0,61266.0,266.0,8.0,267.0,1.0,1.0,266.5,611.0
263.0,360.0,269.0,356.0,58567.0,355.0,6.0,356.0,1.0,1.0,355.5,755.0
324.0,382.0,348.0,369.0,56745.0,363.0,9.0,369.0,1.0,6.0,366.0,678.0
291.0,381.0,375.0,297.0,55703.0,290.0,6.0,291.0,1.0,1.0,290.5,759.0
278.0,317.0,299.0,298.0,60743.0,298.0,16.0,299.0,1.0,1.0,298.5,729.0
279.0,322.0,291.0,289.0,58874.0,289.0,8.0,290.0,1.0,1.0,289.5,692.0
277.0,332.0,297.0,319.0,56603.0,318.0,7.0,319.0,1.0,1.0,318.5,778.0
265.0,323.0,319.0,283.0,58151.0,283.0,10.0,284.0,1.0,1.0,283.5,602.0
216.0,290.0,283.0,222.0,62974.0,221.0,7.0,222.0,1.0,1.0,221.5,720.0
203.0,242.0,224.0,219.0,66838.0,218.0,16.0,219.0,2.0,1.0,218.5,675.0
204.0,244.0,222.0,229.0,67357.0,222.0,13.0,226.0,1.0,4.0,224.0,775.0
222.0,300.0,236.0,294.0,61231.0,294.0,8.0,295.0,1.0,1.0,294.5,676.0
274.0,318.0,293.0,293.0,58299.0,293.0,15.0,294.0,1.0,1.0,293.5,619.0
238.0,297.0,287.0,251.0,61330.0,250.0,12.0,251.0,1.0,1.0,250.5,684.0
224.0,265.0,250.0,237.0,61406.0,237.0,14.0,238.0,1.0,1.0,237.5,736.0
212.0,247.0,239.0,230.0,64308.0,230.0,7.0,231.0,1.0,1.0,230.5,733.0
